critical_issues,serious_issues,moderate_issues,minor_issues,total_elements,wcag_level,compliance_score
4,27,69,76,83,0,0.0
8,45,82,30,698,1,74.14040114613181
11,26,17,84,367,1,67.30245231607628
13,3,5,58,169,1,61.83431952662722
1,14,44,40,676,2,87.1301775147929
16,34,96,111,574,1,59.146341463414636
13,36,22,95,630,0,76.26984126984127
12,0,22,121,986,0,89.19878296146045
8,2,25,104,894,0,89.26174496644295
14,46,76,73,818,1,74.38875305623472
14,23,6,131,138,1,2.898550724637687
10,26,78,98,561,2,66.84491978609626
15,39,43,125,96,2,0.0
16,35,26,137,821,0,78.1973203410475
3,33,25,74,789,2,85.10773130544993
0,28,96,13,741,2,80.49932523616734
7,23,78,37,571,0,74.6059544658494
16,23,35,139,333,1,48.64864864864865
2,41,54,44,426,2,66.78403755868544
19,3,63,144,687,1,74.16302765647744
14,2,90,74,183,0,13.661202185792348
14,33,56,28,716,0,79.39944134078212
13,48,68,17,297,2,41.24579124579124
13,22,60,19,701,0,81.66904422253923
1,22,1,13,367,0,88.41961852861036
12,44,54,53,485,0,64.84536082474227
13,4,96,30,225,2,36.44444444444444
18,30,79,57,884,2,78.67647058823529
6,40,86,103,735,2,71.49659863945578
2,5,37,127,635,0,82.36220472440945
14,36,79,24,400,1,56.75
13,9,77,18,192,0,34.63541666666666
10,39,28,135,853,2,79.60140679953106
14,6,25,2,447,1,85.90604026845638
12,38,34,85,673,1,76.59732540861813
17,37,78,144,767,2,68.77444589308996
5,20,66,141,692,1,74.49421965317919
2,19,86,8,418,1,70.69377990430621
18,2,28,93,550,2,79.36363636363636
14,21,33,148,671,1,75.18628912071534
4,46,96,138,419,1,42.243436754176614
9,3,40,19,628,2,88.53503184713375
6,27,40,34,431,1,74.5939675174014
16,11,22,52,135,1,28.51851851851852
6,37,70,109,836,1,77.03349282296651
11,35,2,135,788,1,81.7258883248731
16,46,57,3,509,2,68.66404715127702
12,40,31,101,999,0,83.43343343343344
19,4,30,46,374,0,74.06417112299465
3,12,81,93,571,1,73.4676007005254
9,22,42,47,538,2,78.3457249070632
2,49,6,90,978,2,86.86094069529652
8,29,0,83,446,1,77.35426008968611
12,36,60,67,945,0,81.85185185185185
17,24,13,138,404,1,62.37623762376238
14,47,51,124,996,2,78.76506024096386
3,26,95,72,337,2,47.77448071216617
14,13,5,3,508,0,89.37007874015748
1,47,9,75,673,2,82.31797919762258
14,46,70,72,585,2,65.2991452991453
7,35,89,76,340,2,43.08823529411765
7,38,97,47,900,0,78.72222222222223
16,15,29,101,887,2,84.89289740698985
11,21,99,105,217,1,5.52995391705069
18,20,20,76,999,0,87.58758758758759
9,20,59,38,670,1,81.19402985074626
8,7,80,57,477,1,71.69811320754717
4,48,96,18,751,0,75.36617842876166
5,15,73,87,539,1,72.35621521335807
19,30,62,112,404,0,50.24752475247525
1,41,41,76,245,1,41.83673469387755
12,9,50,76,594,0,78.87205387205387
5,31,63,27,766,2,82.63707571801567
4,33,75,65,873,2,81.09965635738831
0,8,55,9,981,1,92.71151885830785
5,16,79,125,743,2,76.37954239569314
5,10,40,57,708,0,86.79378531073446
15,31,31,141,988,1,81.98380566801619
3,9,14,124,829,2,88.48009650180941
10,21,61,111,60,2,0.0
8,16,26,83,631,1,82.9635499207607
2,3,27,142,305,2,65.08196721311475
18,47,80,95,445,2,47.41573033707866
7,46,63,32,780,1,79.23076923076923
4,24,58,144,858,2,79.72027972027972
3,20,57,140,458,2,64.41048034934498
5,36,1,46,411,2,78.58880778588808
1,37,35,111,308,2,51.94805194805195
19,48,70,143,52,1,0.0
10,0,12,42,133,0,60.150375939849624
3,24,14,7,205,0,70.97560975609755
14,35,88,2,712,2,76.1938202247191
5,16,86,124,225,2,19.111111111111114
16,40,59,11,756,0,79.2989417989418
5,23,21,83,987,2,89.15906788247213
18,1,62,15,521,0,79.46257197696737
1,39,89,77,668,1,71.8562874251497
14,14,96,58,473,1,63.21353065539112
10,31,74,62,183,1,6.284153005464475
7,38,73,48,837,1,79.92831541218638
18,5,24,50,956,1,90.32426778242677
12,0,47,32,913,1,90.4709748083242
11,46,42,29,429,0,65.61771561771562
4,22,37,75,716,2,83.86871508379889
5,38,40,14,326,0,65.03067484662577
3,16,44,81,285,1,59.82456140350877
18,33,87,91,801,2,72.78401997503121
19,40,39,22,931,2,84.1031149301826
0,28,96,93,62,1,0.0
19,8,16,44,391,1,77.49360613810742
16,12,87,61,84,1,0.0
11,5,56,14,608,1,84.78618421052632
14,5,1,45,263,1,77.56653992395437
0,19,95,63,461,1,66.37744034707158
13,2,61,74,454,2,72.02643171806167
5,16,87,51,543,1,73.02025782688767
4,48,8,87,707,1,81.4002828854314
10,11,67,56,208,2,36.77884615384615
3,47,80,82,686,0,71.20991253644314
12,46,16,65,159,1,11.006289308176093
10,44,49,149,598,2,64.9665551839465
2,0,93,19,838,2,87.29116945107398
0,16,39,32,575,0,86.26086956521739
5,2,57,71,396,1,73.35858585858585
17,25,74,24,793,1,80.13871374527112
9,14,84,45,877,1,83.40935005701255
4,35,20,72,685,2,82.99270072992701
9,31,17,97,328,1,60.36585365853659
11,31,54,56,528,1,71.49621212121212
1,3,28,86,160,1,51.5625
12,17,23,132,685,1,79.78102189781022
7,48,73,54,974,0,80.9034907597536
1,18,16,60,480,0,84.375
19,42,17,88,591,0,72.58883248730965
0,34,41,7,164,1,41.768292682926834
4,39,83,15,139,1,0.0
8,13,44,115,261,2,47.509578544061306
16,32,81,60,599,2,68.1135225375626
8,13,16,14,644,2,90.91614906832298
10,33,72,149,588,1,63.265306122448976
14,3,13,130,778,0,85.79691516709512
5,23,48,101,409,0,65.03667481662592
2,28,28,53,535,0,81.21495327102804
16,18,94,13,421,1,62.11401425178148
4,5,3,35,264,0,86.36363636363636
11,32,81,104,782,2,74.04092071611254
17,48,19,81,64,2,0.0
13,39,46,66,308,0,46.91558441558441
10,18,8,9,827,2,92.80532043530835
8,0,76,48,512,0,77.34375
1,4,78,110,169,0,16.568047337278102
11,26,26,64,962,2,87.62993762993763
2,15,14,56,177,2,61.29943502824859
2,5,91,26,772,2,85.03886010362694
0,39,18,112,572,2,76.83566433566433
7,12,89,132,737,0,74.6268656716418
7,47,51,70,694,2,75.43227665706053
10,34,25,82,374,2,63.36898395721925
8,18,88,56,369,1,56.91056910569105
4,11,25,119,555,2,80.36036036036036
13,15,25,92,575,2,79.21739130434783
2,42,45,14,99,0,0.0
4,9,91,110,971,0,82.74974253347065
4,24,48,100,633,1,77.56714060031595
18,19,81,118,118,2,0.0
13,30,95,75,440,2,53.75
3,3,52,19,432,2,83.33333333333334
12,43,2,130,65,2,0.0
9,22,65,72,488,2,68.85245901639344
17,1,96,121,895,2,78.54748603351956
7,21,41,40,918,1,88.39869281045752
7,36,18,129,617,2,75.60777957860616
6,7,16,22,666,2,92.56756756756756
7,6,32,22,181,2,63.53591160220994
13,13,75,143,609,1,68.47290640394088
18,2,48,8,297,2,69.36026936026936
5,49,55,12,322,1,55.12422360248447
0,15,62,50,672,0,83.70535714285714
14,18,2,63,981,2,90.97859327217125
0,17,48,51,887,1,88.83878241262683
16,15,54,37,897,0,85.84169453734671
0,7,25,99,398,1,78.64321608040201
14,32,98,145,533,1,53.75234521575985
1,48,71,50,599,0,71.61936560934892
13,11,51,136,406,2,60.221674876847295
7,10,99,140,801,2,75.28089887640449
7,4,6,54,367,1,85.55858310626704
18,26,45,108,682,0,74.48680351906158
6,11,45,43,97,2,2.0618556701030997
18,16,99,109,59,1,0.0
5,5,15,127,282,0,65.95744680851064
5,32,23,104,85,1,0.0
2,4,60,9,462,0,83.87445887445887
6,27,53,99,511,2,69.66731898238748
18,13,61,147,53,2,0.0
7,4,0,108,93,1,20.430107526881727
9,32,48,107,617,2,72.85251215559157
19,49,24,139,603,2,66.00331674958541
14,47,9,145,304,0,40.789473684210535
14,40,79,93,789,2,72.9404309252218
0,18,15,62,163,0,55.214723926380366
19,21,57,83,798,0,78.94736842105263
6,4,71,24,446,1,77.35426008968611
3,1,28,11,223,0,81.61434977578475
5,29,91,148,304,2,28.125
0,46,5,24,515,0,83.30097087378641
4,38,15,10,978,0,91.30879345603272
0,3,19,63,326,1,83.12883435582822
3,32,79,125,513,2,61.89083820662768
1,12,70,49,896,2,87.22098214285714
9,19,77,88,551,2,69.60072595281306
4,6,42,98,490,0,77.95918367346938
9,14,25,115,118,2,0.0
0,22,89,95,558,2,69.6236559139785
5,13,77,13,375,0,69.86666666666667
12,22,70,0,791,1,83.94437420986094
14,18,32,24,116,1,14.65517241379311
3,28,25,71,353,0,69.26345609065156
12,19,44,68,533,1,75.51594746716698
19,28,83,132,978,1,76.58486707566462
14,23,62,104,597,1,70.4355108877722
7,17,66,146,466,2,61.69527896995708
4,9,51,22,208,1,59.855769230769226
14,40,67,8,198,2,19.696969696969703
3,7,25,117,76,1,0.0
11,25,74,93,633,2,71.56398104265404
12,28,1,143,297,0,53.36700336700337
1,9,13,32,150,0,70.33333333333333
18,16,29,129,751,1,79.56058588548602
18,1,48,13,145,2,36.55172413793103
3,5,11,0,433,0,94.3418013856813
3,4,89,89,331,0,56.042296072507554
10,27,43,88,371,0,60.24258760107817
4,40,32,143,445,0,61.460674157303366
19,4,12,89,327,1,69.26605504587155
10,17,77,13,578,2,77.68166089965398
9,25,87,110,312,0,36.69871794871795
7,19,97,142,668,1,68.4880239520958
5,40,25,82,629,0,78.37837837837839
5,48,20,71,689,0,80.04354136429609
7,26,27,129,342,0,57.748538011695906
14,48,47,26,343,0,53.352769679300295
13,11,99,73,657,1,72.90715372907154
10,6,39,98,444,2,73.64864864864865
11,2,65,71,562,1,77.66903914590748
12,9,72,22,970,1,87.57731958762886
7,33,86,67,859,1,78.69615832363213
17,24,78,141,229,0,4.585152838427959
0,34,76,116,969,2,80.90815273477813
14,15,22,105,742,0,83.15363881401618
7,1,80,92,284,1,50.17605633802817
10,23,47,64,880,0,84.82954545454545
11,9,1,67,386,2,81.86528497409327
11,37,83,127,57,2,0.0
3,21,19,62,492,0,82.21544715447155
15,25,58,112,990,1,81.66666666666667
3,42,45,89,588,0,73.04421768707483
4,38,2,80,869,1,87.68699654775604
4,26,54,102,707,2,78.5007072135785
7,28,11,115,140,0,11.071428571428584
9,46,39,12,903,2,85.38205980066445
16,37,65,123,321,1,33.33333333333334
8,19,99,146,883,1,75.48131370328426
18,26,77,87,54,0,0.0
13,40,15,10,643,0,83.51477449455676
7,19,82,14,948,0,86.12869198312237
8,43,33,9,268,2,55.97014925373134
10,18,43,40,167,1,34.13173652694611
0,19,5,72,642,1,89.17445482866043
13,34,76,51,631,2,71.71156893819334
4,46,63,127,164,0,0.0
13,1,99,27,312,0,55.128205128205124
3,29,21,64,355,2,71.12676056338029
0,33,17,16,703,1,89.40256045519203
18,21,11,94,471,1,73.35456475583864
7,2,51,137,256,1,46.6796875
14,5,93,62,672,1,76.26488095238095
14,14,50,37,352,2,66.61931818181819
8,26,70,69,161,1,0.9316770186335361
8,9,95,103,466,2,62.23175965665236
9,8,47,52,604,0,82.94701986754967
19,32,18,118,908,2,82.04845814977973
8,31,5,73,334,1,68.86227544910179
2,47,83,53,689,0,73.29462989840349
19,5,26,19,234,2,65.38461538461539
10,40,52,78,790,2,78.35443037974684
5,35,47,30,950,2,86.89473684210526
1,1,6,134,270,0,71.66666666666667
6,28,58,57,913,2,84.61117196056955
17,3,68,104,493,1,67.8498985801217
1,0,10,9,166,0,90.06024096385542
16,18,14,9,119,0,34.87394957983193
10,25,63,38,947,2,85.26927138331574
11,24,2,36,119,1,34.45378151260505
18,9,68,118,671,0,73.69597615499255
6,14,22,66,476,2,81.5126050420168
19,21,52,42,693,1,79.43722943722943
5,47,36,51,617,2,76.98541329011346
0,20,8,100,492,2,82.11382113821138
16,21,14,55,650,0,83.84615384615384
10,35,2,75,186,0,39.784946236559136
17,33,92,67,553,2,62.20614828209765
16,29,69,136,180,0,0.0
6,24,16,105,267,0,56.36704119850187
16,44,25,124,737,1,74.89823609226593
19,27,20,91,220,1,34.54545454545455
8,0,71,22,524,2,81.29770992366412
16,48,20,108,661,2,73.07110438729198
19,44,10,60,178,2,19.101123595505626
7,3,37,43,106,2,27.358490566037744
16,6,71,15,230,1,48.04347826086956
6,48,87,21,295,0,38.47457627118644
0,8,34,56,193,1,61.65803108808291
12,35,13,61,100,2,0.0
18,18,13,106,417,2,69.06474820143885
18,0,9,70,508,1,84.25196850393701
16,9,11,89,267,1,62.17228464419476
12,35,37,71,665,2,77.59398496240601
15,8,33,69,944,0,88.40042372881356
7,44,40,29,616,2,78.16558441558442
18,45,9,102,306,1,46.568627450980394
17,41,16,31,907,2,85.99779492833517
0,31,16,85,205,2,48.78048780487805
13,31,66,56,614,0,72.8827361563518
18,5,61,108,491,2,67.71894093686353
14,47,94,8,890,2,77.92134831460675
17,37,0,30,748,2,86.02941176470588
1,16,11,70,925,1,92.21621621621621
16,9,3,136,711,1,83.61462728551336
17,49,41,12,825,0,81.27272727272727
5,26,12,130,811,2,84.46362515413071
18,49,97,34,994,1,77.51509054325956
3,34,84,20,859,0,82.42142025611176
0,20,85,63,972,2,84.92798353909465
7,24,3,94,984,0,89.83739837398375
6,27,81,33,772,0,80.5699481865285
2,46,68,120,74,0,0.0
9,14,18,14,855,0,92.51461988304094
9,3,1,119,902,0,90.79822616407982
18,28,11,95,713,0,80.85553997194951
13,8,80,5,585,0,79.40170940170941
1,26,73,108,813,2,79.33579335793358
0,25,97,96,109,2,0.0
17,18,5,31,516,0,84.20542635658914
6,27,7,82,483,2,79.19254658385093
7,16,50,117,928,0,84.21336206896552
0,42,10,78,115,2,2.608695652173907
2,40,62,77,959,1,82.84671532846716
7,41,56,146,614,0,66.69381107491857
14,49,11,106,977,1,83.06038894575231
4,19,72,125,155,0,0.0
2,44,1,14,145,0,46.20689655172414
18,39,7,133,737,1,77.20488466757124
0,38,10,72,600,1,82.83333333333333
14,48,52,100,217,1,6.9124423963133665
7,22,99,97,91,0,0.0
1,46,9,25,928,1,90.03232758620689
2,31,84,91,153,1,0.0
13,46,83,124,894,2,73.15436241610738
13,32,7,72,253,2,53.75494071146245
10,45,35,122,569,1,67.75043936731107
15,4,92,52,331,1,53.47432024169184
3,42,75,77,957,1,80.92998955067921
19,47,13,91,92,1,0.0
4,33,53,87,996,2,84.53815261044177
13,39,84,12,159,0,0.0
15,10,85,42,259,1,41.698841698841704
17,49,20,75,798,1,79.32330827067669
6,2,49,50,917,2,90.29443838604143
9,32,93,18,880,1,80.9090909090909
6,10,38,148,98,1,0.0
0,15,19,121,164,2,37.80487804878049
18,17,87,23,204,1,21.568627450980387
15,29,86,25,698,1,75.35816618911174
18,47,6,119,552,2,68.84057971014494
3,9,8,81,728,0,90.65934065934066
17,17,0,99,882,1,87.64172335600907
1,37,25,16,760,1,88.09210526315789
0,18,37,67,120,0,18.75
14,35,37,43,568,2,75.52816901408451
4,12,60,60,761,0,84.7568988173456
19,45,43,122,385,1,45.58441558441558
10,2,85,92,116,0,0.0
9,9,43,73,542,2,79.52029520295203
1,37,73,66,699,1,76.60944206008584
2,0,61,110,803,2,85.0560398505604
11,26,5,1,262,2,74.61832061068702
19,45,16,88,230,0,28.043478260869563
4,7,50,25,815,0,90.06134969325153
4,45,37,98,662,2,75.60422960725076
5,41,23,26,912,2,88.21271929824562
8,16,50,88,648,1,79.32098765432099
1,8,9,145,746,2,87.19839142091153
11,5,71,0,652,2,84.58588957055215
2,42,20,102,297,0,53.535353535353536
19,24,69,130,263,2,20.91254752851711
11,38,84,40,408,2,55.14705882352941
16,48,56,50,298,0,37.91946308724832
9,27,38,14,687,1,84.93449781659389
13,32,87,7,972,0,83.07613168724279
16,36,32,37,999,0,86.33633633633633
17,8,58,113,930,2,82.74193548387098
18,17,17,82,565,2,78.84955752212389
16,20,55,55,137,1,0.0
13,1,91,102,712,2,76.1938202247191
8,42,56,137,225,1,9.555555555555557
7,37,95,101,772,1,72.15025906735751
1,39,75,77,475,1,63.36842105263158
12,35,47,82,820,1,79.9390243902439
6,49,41,29,652,2,78.37423312883436
8,42,26,4,820,0,86.95121951219512
10,36,73,118,973,0,78.82836587872559
13,14,51,30,752,2,84.97340425531915
3,27,41,22,130,2,24.230769230769226
12,17,31,47,976,1,89.34426229508196
1,33,25,108,187,2,30.213903743315512
4,21,24,39,482,0,82.78008298755186
10,10,74,5,519,2,78.51637764932562
5,12,22,37,399,2,82.83208020050125
17,3,97,99,175,1,0.0
9,21,56,26,930,1,87.25806451612904
3,6,51,68,966,1,89.648033126294
8,42,86,56,917,1,78.95310796074155
5,23,92,16,358,0,59.63687150837989
1,3,30,70,904,2,92.09070796460178
16,27,63,46,279,2,43.18996415770609
4,14,70,78,509,1,72.88801571709234
5,0,32,109,394,0,75.50761421319797
11,2,84,12,359,0,67.966573816156
9,13,1,138,69,2,0.0
5,37,17,123,930,1,84.51612903225806
7,49,46,108,610,2,69.26229508196721
1,0,32,89,696,2,88.72126436781609
11,37,97,85,590,0,63.22033898305085
12,37,83,91,609,0,65.84564860426929
6,20,34,23,526,2,83.36501901140684
9,47,50,72,318,1,45.12578616352201
12,28,17,3,52,1,0.0
16,4,87,112,819,2,77.89987789987791
13,48,71,45,65,2,0.0
1,9,29,17,655,1,91.90839694656489
10,27,43,42,407,1,69.4103194103194
0,20,52,92,695,1,81.58273381294964
18,49,9,102,862,2,80.33642691415314
3,6,86,123,888,0,81.70045045045045
18,2,51,9,182,1,48.07692307692307
10,44,48,72,361,1,52.908587257617725
7,46,10,30,531,1,79.66101694915254
10,19,65,59,944,2,84.85169491525423
3,18,57,130,593,0,73.86172006745363
16,34,89,117,354,0,34.88700564971752
6,3,35,13,318,1,81.76100628930817
7,4,32,142,463,2,73.43412526997841
2,0,46,1,74,0,31.756756756756758
1,3,12,23,365,2,91.78082191780823
14,11,39,63,620,0,81.45161290322581
4,26,88,99,774,1,76.16279069767441
0,41,67,113,717,2,74.19804741980474
3,22,41,23,875,1,89.54285714285714
14,24,18,90,325,0,60.92307692307693
19,20,81,25,979,0,83.50357507660878
18,23,93,64,438,1,55.36529680365297
2,24,18,119,771,0,84.76005188067445
19,44,57,3,493,1,67.03853955375254
10,45,22,0,476,1,76.99579831932773
16,31,53,49,106,1,0.0
12,31,79,109,746,0,72.65415549597856
10,4,64,138,615,2,74.14634146341463
1,35,11,73,770,1,86.75324675324676
8,45,23,61,417,2,67.14628297362111
1,41,33,80,990,0,86.21212121212122
8,48,52,55,391,0,57.1611253196931
8,41,7,110,854,2,83.66510538641685
7,38,17,20,901,1,89.12319644839067
16,15,56,140,353,0,48.86685552407932
0,32,4,8,813,1,93.1119311193112
10,48,25,138,423,1,56.02836879432624
7,20,29,69,999,2,89.23923923923924
9,8,53,128,865,0,83.00578034682081
6,5,12,117,161,2,44.09937888198758
2,44,82,55,927,0,80.63646170442287
2,34,28,30,55,2,0.0
17,38,2,36,979,0,88.66189989785495
4,21,89,90,752,0,76.9281914893617
11,40,57,113,895,0,78.15642458100558
11,4,75,127,993,1,83.23262839879155
18,41,1,121,328,1,51.52439024390244
5,22,74,68,431,2,64.96519721577727
1,16,27,35,901,2,92.17536071032187
11,11,81,31,62,0,0.0
18,22,76,63,352,0,49.85795454545454
4,15,85,47,605,1,77.02479338842976
11,2,75,80,666,1,78.97897897897897
16,29,1,148,209,1,27.99043062200957
16,21,6,59,203,2,51.23152709359606
9,8,25,140,803,1,84.43337484433374
16,28,89,0,230,2,29.13043478260869
14,46,87,64,575,1,62.434782608695656
11,36,75,32,229,1,27.074235807860262
15,22,15,37,426,0,77.34741784037558
18,12,22,24,853,2,89.68347010550997
7,31,39,58,825,1,84.42424242424242
16,45,59,100,217,0,3.917050691244242
4,46,72,126,263,2,19.3916349809886
15,47,31,40,199,2,23.869346733668337
5,22,14,56,65,1,0.0
7,44,12,47,140,2,17.5
17,16,4,71,169,0,42.307692307692314
11,39,74,55,302,0,39.735099337748345
14,20,73,64,109,2,0.0
8,1,51,11,315,0,76.5079365079365
12,36,76,68,458,2,58.95196506550218
14,5,40,133,80,0,0.0
9,43,52,88,70,2,0.0
15,17,49,24,780,2,85.06410256410257
6,29,14,0,642,2,89.17445482866043
16,21,6,130,338,0,60.20710059171598
6,32,39,48,592,2,79.22297297297297
13,29,27,146,547,2,69.01279707495429
14,16,31,59,795,1,85.84905660377359
6,42,98,1,523,1,66.82600382409177
8,31,14,72,454,2,75.22026431718061
18,41,99,144,597,1,55.0251256281407
15,13,84,109,181,2,0.0
7,9,69,60,373,1,66.0857908847185
17,46,64,16,907,0,80.70562293274531
17,35,3,48,181,0,37.29281767955801
19,33,10,75,570,2,76.31578947368422
6,8,25,147,79,2,0.0
2,41,60,130,676,0,71.81952662721893
17,27,36,42,350,0,62.42857142857143
9,10,22,56,53,1,0.0
6,13,92,49,374,2,60.42780748663101
16,38,84,36,558,0,65.7706093189964
13,46,90,45,286,0,27.447552447552454
2,18,39,14,584,2,86.81506849315069
11,14,76,79,65,1,0.0
12,27,22,138,583,1,73.32761578044597
1,23,15,147,633,1,80.2527646129542
2,7,93,23,865,1,86.242774566474
4,42,60,124,495,0,61.01010101010101
10,8,67,117,552,2,71.46739130434783
7,46,79,79,279,2,27.777777777777786
11,32,30,93,156,0,6.089743589743591
6,32,52,64,769,0,81.2743823146944
14,18,24,87,438,0,72.03196347031962
16,2,43,87,769,2,84.2002600780234
3,9,11,144,312,2,67.1474358974359
12,39,89,125,612,2,61.76470588235294
17,46,96,88,114,1,0.0
0,41,91,60,314,0,41.87898089171974
15,0,8,14,387,0,88.37209302325581
12,28,11,93,350,0,64.71428571428572
9,49,68,50,427,2,56.79156908665106
11,33,53,26,224,0,38.61607142857143
1,12,53,73,201,0,45.52238805970149
2,0,27,60,525,1,88.38095238095238
9,33,55,30,315,2,56.34920634920635
1,28,98,11,378,0,60.978835978835974
12,47,68,45,865,2,78.61271676300578
12,46,97,31,212,2,3.066037735849065
17,12,97,60,487,2,63.24435318275154
2,47,76,45,392,1,55.86734693877551
6,48,57,84,416,2,56.00961538461539
13,28,77,79,514,2,64.10505836575877
19,38,74,134,799,2,70.4630788485607
16,23,41,3,248,0,56.04838709677419
11,25,37,51,549,1,77.77777777777777
15,16,67,111,65,0,0.0
11,6,52,35,870,1,88.44827586206897
14,12,32,53,345,1,69.71014492753623
9,4,70,118,917,2,83.31515812431843
6,25,55,126,560,2,70.08928571428572
19,48,71,16,837,0,77.41935483870968
4,2,50,74,288,1,65.97222222222223
0,6,73,104,630,2,78.73015873015873
16,48,42,149,350,2,37.0
2,38,14,116,55,2,0.0
12,0,37,42,269,2,69.51672862453532
13,48,14,111,815,0,79.4478527607362
17,16,4,114,502,0,76.29482071713147
3,42,92,26,482,2,63.90041493775934
17,24,82,36,856,2,80.14018691588785
4,2,53,45,919,2,90.58759521218715
15,14,50,112,435,2,63.9080459770115
0,28,9,34,668,2,89.82035928143712
13,42,11,131,344,1,51.88953488372093
14,31,3,79,167,1,29.94011976047905
8,25,94,79,454,1,58.81057268722467
14,15,17,120,729,1,82.51028806584362
16,24,79,146,812,2,72.90640394088669
3,27,35,121,643,1,77.91601866251943
11,8,24,80,615,1,84.0650406504065
4,0,86,149,801,0,78.96379525593008
4,28,75,118,927,1,80.15102481121899
10,21,97,57,61,1,0.0
5,15,35,62,258,2,61.82170542635659
6,40,66,99,214,1,12.383177570093466
13,43,8,65,927,1,85.86839266450917
10,40,60,144,343,2,38.19241982507289
12,6,52,84,960,1,86.77083333333333
1,13,17,136,568,2,81.25
6,28,42,143,127,1,0.0
19,18,34,122,483,0,66.87370600414079
3,18,62,1,626,0,84.7444089456869
7,1,97,105,663,1,75.1131221719457
19,40,77,107,918,0,75.10893246187364
18,44,3,71,861,2,83.68176538908247
12,14,92,125,848,1,76.47405660377359
13,2,40,56,732,2,86.74863387978142
9,10,44,80,126,0,7.142857142857139
10,45,49,140,97,2,0.0
1,29,78,18,816,0,83.76225490196079
8,39,27,6,131,0,20.229007633587784
16,17,41,136,944,0,82.36228813559322
2,47,79,53,770,2,76.62337662337663
5,1,75,103,258,0,46.51162790697675
4,31,68,85,494,1,66.59919028340082
4,7,97,81,645,0,75.81395348837209
14,21,0,60,571,1,84.32574430823118
16,5,38,86,78,1,0.0
8,11,95,1,353,1,63.73937677053824
2,46,89,30,514,1,65.56420233463035
19,39,16,32,551,2,76.67876588021778
16,35,90,79,495,1,56.76767676767677
9,14,87,10,677,0,80.64992614475628
2,27,34,127,539,1,73.65491651205937
17,48,45,134,830,0,73.73493975903614
17,44,41,127,477,2,57.127882599580715
16,17,38,30,608,1,81.82565789473685
2,1,89,125,408,0,61.51960784313725
2,12,48,46,140,2,33.57142857142857
5,44,61,106,102,2,0.0
12,14,37,18,779,0,88.3183568677792
14,19,22,80,909,1,86.96369636963696
8,28,21,122,638,2,78.0564263322884
3,41,3,133,253,0,45.8498023715415
13,28,48,106,605,1,72.06611570247934
4,2,58,48,205,2,54.63414634146341
1,18,72,72,51,0,0.0
10,2,67,49,406,2,71.79802955665025
8,13,70,80,874,2,83.35240274599542
2,39,86,94,618,0,68.36569579288026
8,3,1,11,851,2,96.82726204465335
2,10,48,22,107,0,27.10280373831776
1,30,87,53,303,1,47.02970297029702
11,42,94,117,229,0,0.0
9,31,30,58,542,1,77.2140221402214
8,26,39,2,718,2,86.76880222841226
14,29,47,57,84,0,0.0
7,42,50,56,124,0,0.0
4,1,42,144,993,0,87.56294058408862
10,48,97,89,338,0,30.917159763313606
1,8,54,54,420,1,77.38095238095238
14,27,87,44,636,1,72.09119496855345
5,30,48,0,378,2,72.75132275132275
7,33,89,20,639,2,74.56964006259781
4,14,79,20,816,2,85.5392156862745
15,47,56,51,826,2,77.96610169491525
17,24,76,81,353,0,47.1671388101983
5,35,14,66,628,1,82.56369426751593
4,7,26,112,270,1,62.77777777777778
15,8,67,43,213,1,38.732394366197184
12,36,79,9,529,1,69.47069943289225
4,47,63,63,504,2,65.67460317460318
12,44,93,68,424,0,48.82075471698113
16,38,29,67,269,1,43.68029739776952
17,31,35,27,733,0,82.40109140518418
7,16,66,115,303,0,46.6996699669967
12,34,85,50,771,0,76.00518806744488
18,36,85,3,237,0,25.527426160337555
2,18,48,78,240,1,50.833333333333336
7,43,75,16,438,1,63.12785388127854
1,28,54,107,264,1,42.61363636363637
7,6,84,73,424,2,66.15566037735849
12,27,55,22,135,1,3.3333333333333286
12,8,67,17,523,2,78.68068833652008
0,27,94,128,667,2,70.23988005997002
5,5,43,34,893,2,91.32138857782755
18,28,30,63,857,1,83.7222870478413
15,16,57,58,580,1,75.86206896551724
7,15,86,0,96,1,0.0
0,22,52,130,114,2,0.0
15,30,83,66,524,2,63.54961832061068
8,2,78,36,195,0,41.02564102564102
12,20,22,28,995,2,90.95477386934674
10,25,27,88,847,2,84.82880755608028
12,35,15,99,431,1,67.28538283062645
9,41,36,121,115,0,0.0
3,36,20,89,566,0,78.0035335689046
5,21,78,131,142,0,0.0
6,41,16,13,914,1,89.49671772428884
4,11,36,149,475,0,71.57894736842105
10,41,76,130,517,0,56.963249516441
12,12,18,84,143,1,28.671328671328666
18,10,29,20,667,0,86.50674662668666
9,15,44,25,182,2,46.7032967032967
9,7,17,40,483,2,86.43892339544513
10,39,77,121,390,2,44.61538461538461
6,39,61,37,363,2,58.67768595041322
17,44,35,87,640,2,72.109375
3,1,99,10,261,2,57.27969348659004
1,29,83,28,569,2,74.95606326889279
13,29,51,59,208,2,27.884615384615387
12,11,18,60,317,2,72.08201892744479
11,9,43,146,710,1,78.66197183098592
6,43,6,21,911,1,89.7914379802415
1,10,43,77,652,2,84.89263803680981
12,14,67,112,797,1,78.92095357590966
13,15,33,122,523,1,72.75334608030593
16,16,65,141,850,2,77.47058823529412
8,25,68,43,459,2,68.84531590413943
